State,Year,Quater,District,Users
Andhra Pradesh,2018,4,west godavari district,435668
Andhra Pradesh,2018,4,chittoor district,665280
Andhra Pradesh,2019,1,east godavari district,839277
Andhra Pradesh,2019,1,srikakulam district,345775
Andhra Pradesh,2019,1,visakhapatnam district,1174517
Andhra Pradesh,2019,1,prakasam district,474260
Andhra Pradesh,2019,1,anantapur district,612162
Andhra Pradesh,2019,1,kurnool district,599422
Andhra Pradesh,2019,1,guntur district,802394
Andhra Pradesh,2019,1,krishna district,833694
Andhra Pradesh,2019,1,spsr nellore district,491908
Andhra Pradesh,2019,1,vizianagaram district,313334
Andhra Pradesh,2019,1,ysr district,460590
Andhra Pradesh,2019,1,west godavari district,523372
Andhra Pradesh,2019,1,chittoor district,812314
Andhra Pradesh,2019,2,east godavari district,945181
Andhra Pradesh,2019,2,srikakulam district,392764
Andhra Pradesh,2019,2,visakhapatnam district,1318740
Andhra Pradesh,2019,2,prakasam district,539462
Andhra Pradesh,2019,2,anantapur district,695114
Andhra Pradesh,2019,2,kurnool district,680118
Andhra Pradesh,2019,2,guntur district,915256
Andhra Pradesh,2019,2,krishna district,952300
Andhra Pradesh,2019,2,spsr nellore district,558303
Andhra Pradesh,2019,2,vizianagaram district,355058
Andhra Pradesh,2019,2,ysr district,519031
Andhra Pradesh,2019,2,west godavari district,592185
Andhra Pradesh,2019,2,chittoor district,925491
Andhra Pradesh,2019,3,east godavari district,1057167
Andhra Pradesh,2019,3,srikakulam district,437939
Andhra Pradesh,2019,3,visakhapatnam district,1460464
Andhra Pradesh,2019,3,prakasam district,598568
Andhra Pradesh,2019,3,anantapur district,773656
Andhra Pradesh,2019,3,kurnool district,755024
Andhra Pradesh,2019,3,guntur district,1026418
Andhra Pradesh,2019,3,krishna district,1066546
Andhra Pradesh,2019,3,spsr nellore district,619592
Andhra Pradesh,2019,3,vizianagaram district,394375
Andhra Pradesh,2019,3,ysr district,574109
Andhra Pradesh,2019,3,west godavari district,662102
Andhra Pradesh,2019,3,chittoor district,1032733
Andhra Pradesh,2019,4,east godavari district,1195228
Andhra Pradesh,2019,4,srikakulam district,496266
Andhra Pradesh,2019,4,visakhapatnam district,1620235
Andhra Pradesh,2019,4,prakasam district,673522
Andhra Pradesh,2019,4,anantapur district,873033
Andhra Pradesh,2019,4,kurnool district,846885
Andhra Pradesh,2019,4,guntur district,1158708
Andhra Pradesh,2019,4,krishna district,1199971
Andhra Pradesh,2019,4,spsr nellore district,697154
Andhra Pradesh,2019,4,vizianagaram district,443810
Andhra Pradesh,2019,4,ysr district,646642
Andhra Pradesh,2019,4,west godavari district,750078
Andhra Pradesh,2019,4,chittoor district,1156351
Andhra Pradesh,2020,1,east godavari district,1329664
Andhra Pradesh,2020,1,srikakulam district,552007
Andhra Pradesh,2020,1,visakhapatnam district,1763581
Andhra Pradesh,2020,1,prakasam district,748655
Andhra Pradesh,2020,1,anantapur district,971850
Andhra Pradesh,2020,1,kurnool district,936293
Andhra Pradesh,2020,1,guntur district,1289678
Andhra Pradesh,2020,1,krishna district,1331602
Andhra Pradesh,2020,1,spsr nellore district,775440
Andhra Pradesh,2020,1,vizianagaram district,490683
Andhra Pradesh,2020,1,ysr district,717865
Andhra Pradesh,2020,1,west godavari district,843835
Andhra Pradesh,2020,1,chittoor district,1270907
Andhra Pradesh,2020,2,east godavari district,1459116
Andhra Pradesh,2020,2,srikakulam district,608002
Andhra Pradesh,2020,2,visakhapatnam district,1904719
Andhra Pradesh,2020,2,prakasam district,830709
Andhra Pradesh,2020,2,anantapur district,1076953
Andhra Pradesh,2020,2,kurnool district,1035093
Andhra Pradesh,2020,2,guntur district,1426271
Andhra Pradesh,2020,2,krishna district,1459041
Andhra Pradesh,2020,2,spsr nellore district,854459
Andhra Pradesh,2020,2,vizianagaram district,537798
Andhra Pradesh,2020,2,ysr district,796769
Andhra Pradesh,2020,2,west godavari district,944829
Andhra Pradesh,2020,2,chittoor district,1385916
Andhra Pradesh,2020,3,east godavari district,1601940
Andhra Pradesh,2020,3,srikakulam district,667858
Andhra Pradesh,2020,3,visakhapatnam district,2058346
Andhra Pradesh,2020,3,prakasam district,915240
Andhra Pradesh,2020,3,anantapur district,1186851
Andhra Pradesh,2020,3,kurnool district,1132240
Andhra Pradesh,2020,3,guntur district,1567595
Andhra Pradesh,2020,3,krishna district,1599289
Andhra Pradesh,2020,3,spsr nellore district,937176
Andhra Pradesh,2020,3,vizianagaram district,587784
Andhra Pradesh,2020,3,ysr district,877909
Andhra Pradesh,2020,3,west godavari district,1053674
Andhra Pradesh,2020,3,chittoor district,1506503
Andhra Pradesh,2020,4,east godavari district,1746280
Andhra Pradesh,2020,4,srikakulam district,726761
Andhra Pradesh,2020,4,visakhapatnam district,2209658
Andhra Pradesh,2020,4,prakasam district,999462
Andhra Pradesh,2020,4,anantapur district,1295872
Andhra Pradesh,2020,4,kurnool district,1230466
Andhra Pradesh,2020,4,guntur district,1712940
Andhra Pradesh,2020,4,krishna district,1744028
Andhra Pradesh,2020,4,spsr nellore district,1022944
Andhra Pradesh,2020,4,vizianagaram district,634462
Andhra Pradesh,2020,4,ysr district,959182
Andhra Pradesh,2020,4,west godavari district,1163179
Andhra Pradesh,2020,4,chittoor district,1631331
Andhra Pradesh,2021,1,east godavari district,1878769
Andhra Pradesh,2021,1,srikakulam district,782604
Andhra Pradesh,2021,1,visakhapatnam district,2368081
Andhra Pradesh,2021,1,prakasam district,1075936
Andhra Pradesh,2021,1,anantapur district,1394849
Andhra Pradesh,2021,1,kurnool district,1323411
Andhra Pradesh,2021,1,guntur district,1843237
Andhra Pradesh,2021,1,krishna district,1876458
Andhra Pradesh,2021,1,spsr nellore district,1100541
Andhra Pradesh,2021,1,vizianagaram district,681621
Andhra Pradesh,2021,1,ysr district,1032689
Andhra Pradesh,2021,1,west godavari district,1254117
Andhra Pradesh,2021,1,chittoor district,1751420
